Year,Month,Avg Temp (°C),Precipitation (mm),Soil Moisture (%),Yield (kg/hectare)
1978,7,36.2,175.3,51.5,2594.4
1978,8,35.5,158.9,48.8,2508.8
1978,9,32.6,92.1,45.1,2366.5
1978,10,28.9,32,39.7,2125.9
1978,11,23.5,18.3,35.4,1909.6
1978,12,20.2,29.1,32.9,1762.1
1979,1,19.2,23.3,31,1705.9
1979,2,21.5,42.2,36.4,1812.7
1979,3,26.2,23.1,39.1,1931.1
1979,4,30.8,16.4,34.8,2026.3
1979,5,34.9,29.7,28.6,1977.5
1979,6,37.2,111.5,45,2336.4
1979,7,36.5,178.2,52.2,2607.8
1979,8,35.8,161.8,49.5,2522.2
1979,9,32.9,95,45.8,2379.9
1979,10,29.2,33.2,40.4,2139.3
1979,11,23.8,19.5,36.1,1923
1979,12,20.5,30.3,33.6,1775.5
1980,1,19.5,24.2,31.6,1719.3
1980,2,21.8,43.7,37.1,1826.1
1980,3,26.5,24.3,39.8,1944.5
1980,4,31.1,17.6,35.5,2039.7
1980,5,35.2,30.9,29.3,1990.9
1980,6,37.5,114.4,45.7,2349.8
1980,7,36.8,181.1,52.9,2621.2
1980,8,36.1,164.7,50.2,2535.6
1980,9,33.2,97.9,46.5,2393.3
1980,10,29.5,34.4,41.1,2152.7
1980,11,24.1,20.7,36.8,1936.4
1980,12,20.8,31.5,34.3,1788.9
1981,1,19.8,25.1,32.2,1732.7
1981,2,22.1,45.2,37.8,1839.5
1981,3,26.8,25.5,40.5,1957.9
1981,4,31.4,18.8,36.2,2053.1
1981,5,35.5,32.1,30,2004.3
1981,6,37.8,117.3,46.4,2363.2
1981,7,37,117.3,46.4,2363.2
1981,8,36.4,167.6,50.9,2549
1981,9,33.5,100.8,47.2,2406.7
1981,10,29.8,35.6,41.8,2166.1
1981,11,24.4,21.9,37.5,1949.8
1981,12,21.1,32.7,35,1802.3
1982,1,20.1,26,32.8,1746.1
1982,2,22.4,46.7,38.5,1852.9
1982,3,27.1,26.7,41.2,1971.3
1982,4,31.7,20,36.9,2066.5
1982,5,35.8,33.3,30.7,2017.7
1982,6,38.1,120.2,47.1,2376.6
1982,7,37.4,186.9,53.6,2634.6
1982,8,36.7,170.5,51.6,2562.4
1982,9,33.8,103.7,47.9,2420.1
1982,10,30.1,36.8,42.5,2179.5
1982,11,24.7,23.1,38.2,1963.2
1982,12,21.4,33.9,35.7,1815.7
1983,1,20.4,26.9,33.4,1759.5
1983,2,22.7,48.2,39.2,1866.3
1983,3,27.4,27.4,41.9,1984.7
1983,4,32,21.2,37.6,2079.9
1983,5,36.1,34.5,31.4,2031.1
1983,6,38.4,123.1,47.8,2390
1983,7,37.7,189.8,54.3,2648
1983,8,37,173.4,52.3,2575.8
1983,9,34.1,106.6,48.6,2433.5
1983,10,30.4,38,43.2,2192.9
1983,11,25,24.3,38.9,1976.6
1983,12,21.7,35.1,36.4,1829.1
1984,1,20.7,27.8,34,1772.9
1984,2,23,49.7,39.9,1879.7
1984,3,27.7,28.1,42.6,1998.1
1984,4,32.3,22.4,38.3,2093.3
1984,5,36.4,35.7,32.1,2044.5
1984,6,38.7,126,48.5,2403.4
1984,7,38,192.7,55,2661.4
1984,8,37.3,176.3,53,2589.2
1984,9,34.4,109.5,49.3,2446.9
1984,10,30.7,39.2,43.9,2206.3
1984,11,25.3,25.5,39.6,1990
1984,12,22,36.3,37.1,1842.5
1985,1,21,28.7,34.6,1786.3
1985,2,23.3,51.2,40.6,1893.1
1985,3,28,28.8,43.3,2011.5
1985,4,32.6,23.6,39,2106.7
1985,5,36.7,36.9,32.8,2057.9
1985,6,39,128.9,49.2,2416.8
1985,7,38.3,195.6,55.7,2674.8
1985,8,37.6,179.2,53.7,2602.6
1985,9,34.7,112.4,50,2460.3
1985,10,31,40.4,44.6,2219.7
1985,11,25.6,26.7,40.3,2003.4
1985,12,22.3,37.5,37.8,1855.9
1986,1,21.3,29.6,35.2,1799.7
1986,2,23.6,52.7,41.3,1906.5
1986,3,28.3,29.5,44,2024.9
1986,4,32.9,24.8,39.7,2120.1
1986,5,37,38.1,33.5,2071.3
1986,6,39.3,131.8,49.9,2430.2
1986,7,38.6,198.5,56.4,2688.2
1986,8,37.9,182.1,54.4,2616
1986,9,35,115.3,50.7,2473.7
1986,10,31.3,41.6,45.3,2233.1
1986,11,25.9,27.9,41,2016.8
1986,12,22.6,38.7,38.5,1869.3
1987,1,21.6,30.5,35.8,1813.1
1987,2,23.9,54.2,42,1919.9
1987,3,28.6,30.2,44.7,2038.3
1987,4,33.2,26,40.4,2133.5
1987,5,37.3,39.3,34.2,2084.7
1987,6,39.6,134.7,50.6,2443.6
1987,7,38.9,201.4,57.1,2701.6
1987,8,38.2,185,55.1,2629.4
1987,9,35.3,118.2,51.4,2487.1
1987,10,31.6,42.8,46,2246.5
1987,11,26.2,29.1,41.7,2030.2
1987,12,22.9,39.9,39.2,1882.7
1988,1,21.9,31.4,36.4,1826.5
1988,2,24.2,55.7,42.7,1933.3
1988,3,28.9,30.9,45.4,2051.7
1988,4,33.5,27.2,41.1,2146.9
1988,5,37.6,40.5,34.9,2098.1
1988,6,39.9,137.6,51.3,2457
1988,7,39.2,204.3,57.8,2715
1988,8,38.5,187.9,55.8,2642.8
1988,9,35.6,121.1,52.1,2500.5
1988,10,31.9,44,46.7,2259.9
1988,11,26.5,30.3,42.4,2043.6
1988,12,23.2,41.1,39.9,1896.1
1989,1,22.2,32.3,37,1839.9
1989,2,24.5,57.2,43.4,1946.7
1989,3,29.2,31.6,46.1,2065.1
1989,4,33.8,28.4,41.8,2160.3
1989,5,37.9,41.7,35.6,2111.5
1989,6,40.2,140.5,52,2470.4
1989,7,39.5,207.2,58.5,2728.4
1989,8,38.8,190.8,56.5,2656.2
1989,9,35.9,124,52.8,2513.9
1989,10,32.2,45.2,47.4,2273.3
1989,11,26.8,31.5,43.1,2057
1989,12,23.5,42.3,40.6,1909.5
1990,1,22.5,33.4,37.6,1853.3
1990,2,24.8,58.7,44.1,1960.1
1990,3,29.5,32.3,46.8,2078.5
1990,4,34.1,29.6,42.5,2173.7
1990,5,38.2,42.9,36.3,2124.9
1990,6,40.5,143.4,52.7,2483.8
1990,7,39.8,210.1,59.2,2741.8
1990,8,39.1,193.7,57.2,2669.6
1990,9,36.2,126.9,53.5,2527.3
1990,10,32.5,46.4,48.1,2286.7
1990,11,27.1,32.7,43.8,2070.4
1990,12,23.8,43.5,41.3,1922.9
1991,1,22.8,34.3,38.2,1866.7
1991,2,25.1,60.2,44.8,1973.5
1991,3,29.8,33,47.5,2091.9
1991,4,34.4,30.8,43.2,2187.1
1991,5,38.5,44.1,37,2138.3
1991,6,40.8,146.3,53.4,2497.2
1991,7,40.1,213,59.9,2755.2
1991,8,39.4,196.6,57.9,2683
1991,9,36.5,129.8,54.2,2540.7
1991,10,32.8,47.6,48.8,2300.1
1991,11,27.4,33.9,44.5,2083.8
1991,12,24.1,44.7,42,1936.3
1992,1,23.1,35.2,38.8,1880.1
1992,2,25.4,61.7,45.5,1986.9
1992,3,30.1,33.7,48.2,2105.3
1992,4,34.7,32,43.9,2200.5
1992,5,38.8,45.3,37.7,2151.7
1992,6,41.1,149.2,54.1,2510.6
1992,7,40.4,215.9,60.6,2768.6
1992,8,39.7,199.5,58.6,2696.4
1992,9,36.8,132.7,54.9,2554.1
1992,10,33.1,48.8,49.5,2313.5
1992,11,27.7,35.1,45.2,2097.2
1992,12,24.4,45.9,42.7,1949.7
1993,1,23.4,36.1,39.4,1893.5
1993,2,25.7,63.2,46.2,2000.3
1993,3,30.4,34.4,48.9,2118.7
1993,4,35,33.2,44.6,2213.9
1993,5,39.1,46.5,38.4,2165.1
1993,6,41.4,152.1,54.8,2524
1993,7,40.7,218.8,61.3,2782
1993,8,40,202.4,59.3,2709.8
1993,9,37.1,135.6,55.6,2567.5
1993,10,33.4,50,50.2,2326.9
1993,11,28,36.3,45.9,2110.6
1993,12,24.7,47.1,43.4,1963.1
1994,1,23.7,37,40,1906.9
1994,2,26,64.7,46.9,2013.7
1994,3,30.7,35.1,49.6,2132.1
1994,4,35.3,34.4,45.3,2227.3
1994,5,39.4,47.7,39.1,2178.5
1994,6,41.7,155,55.5,2537.4
1994,7,41,221.7,62,2795.4
1994,8,40.3,205.3,60,2723.2
1994,9,37.4,138.5,56.3,2580.9
1994,10,33.7,51.2,50.9,2340.3
1994,11,28.3,37.5,46.6,2124
1994,12,25,48.3,44.1,1976.5
1995,1,24,37.9,40.6,1920.3
1995,2,26.3,66.2,47.6,2027.1
1995,3,31,35.8,50.3,2145.5
1995,4,35.6,35.6,46,2240.7
1995,5,39.7,48.9,39.8,2191.9
1995,6,42,157.9,56.2,2550.8
1995,7,41.3,224.6,62.7,2808.8
1995,8,40.6,208.2,60.7,2736.6
1995,9,37.7,141.4,57,2594.3
1995,10,34,52.4,51.6,2353.7
1995,11,28.6,38.7,47.3,2137.4
1995,12,25.3,49.5,44.8,1989.9
1996,1,24.3,38.8,41.2,1933.7
1996,2,26.6,67.7,48.3,2040.5
1996,3,31.3,36.5,51,2158.9
1996,4,35.9,36.8,46.7,2254.1
1996,5,40,50.1,40.5,2205.3
1996,6,42.3,160.8,56.9,2564.2
1996,7,41.6,227.5,63.4,2822.2
1996,8,40.9,211.1,61.4,2750
1996,9,38,144.3,57.7,2607.7
1996,10,34.3,53.6,52.3,2367.1
1996,11,28.9,39.9,48,2150.8
1996,12,25.6,50.7,45.5,2003.3
1997,1,24.6,39.7,41.8,1947.1
1997,2,26.9,69.2,49,2053.9
1997,3,31.6,37.2,51.7,2172.3
1997,4,36.2,38,47.4,2267.5
1997,5,40.3,51.3,41.2,2218.7
1997,6,42.6,163.7,57.6,2577.6
1997,7,41.9,230.4,64.1,2835.6
1997,8,41.2,214,62.1,2763.4
1997,9,38.3,147.2,58.4,2621.1
1997,10,34.6,54.8,53,2380.5
1997,11,29.2,41.1,48.7,2164.2
1997,12,25.9,51.9,46.2,2016.7
1998,1,24.9,40.6,42.4,1960.5
1998,2,27.2,70.7,49.7,2067.3
1998,3,31.9,37.9,52.4,2185.7
1998,4,36.5,39.2,48.1,2280.9
1998,5,40.6,52.5,41.9,2232.1
1998,6,42.9,166.6,58.3,2591
1998,7,42.2,233.3,64.8,2849
1998,8,41.5,216.9,62.8,2776.8
1998,9,38.6,150.1,59.1,2634.5
1998,10,34.9,56,53.7,2393.9
1998,11,29.5,42.3,49.4,2177.6
1998,12,26.2,53.1,46.9,2030.1
1999,1,25.2,41.5,43,1973.9
1999,2,27.5,72.2,50.4,2080.7
1999,3,32.2,38.6,53.1,2199.1
1999,4,36.8,40.4,48.8,2294.3
1999,5,40.9,53.7,42.6,2245.5
1999,6,43.2,169.5,59,2604.4
1999,7,42.5,236.2,65.5,2862.4
1999,8,41.8,219.8,63.5,2790.2
1999,9,38.9,153,59.8,2647.9
1999,10,35.2,57.2,54.4,2407.3
1999,11,29.8,43.5,50.1,2191
1999,12,26.5,54.3,47.6,2043.5
2000,1,25.5,42.4,43.6,1987.3
2000,2,27.8,73.7,51.1,2094.1
2000,3,32.5,39.3,53.8,2212.5
2000,4,37.1,41.6,49.5,2307.7
2000,5,41.2,54.9,43.3,2258.9
2000,6,43.5,172.4,59.7,2617.8
2000,7,42.8,239.1,66.2,2875.8
2000,8,42.1,222.7,64.2,2803.6
2000,9,39.2,155.9,60.5,2661.3
2000,10,35.5,58.4,55.1,2420.7
2000,11,30.1,44.7,50.8,2204.4
2000,12,26.8,55.5,48.3,2056.9
2001,1,25.8,43.3,44.2,2000.7
2001,2,28.1,75.2,51.8,2107.5
2001,3,32.8,40,54.5,2225.9
2001,4,37.4,42.8,50.2,2321.1
2001,5,41.5,56.1,44,2272.3
2001,6,43.8,175.3,60.4,2631.2
2001,7,43.1,242,66.9,2889.2
2001,8,42.4,225.6,64.9,2817
2001,9,39.5,158.8,61.2,2674.7
2001,10,35.8,59.6,55.8,2434.1
2001,11,30.4,45.9,51.5,2217.8
2001,12,27.1,56.7,49,2070.3
2002,1,26.1,44.2,44.8,2014.1
2002,2,28.4,76.7,52.5,2120.9
2002,3,33.1,40.7,55.2,2239.3
2002,4,37.7,44,50.9,2334.5
2002,5,41.8,57.3,44.7,2285.7
2002,6,44.1,178.2,61.1,2644.6
2002,7,43.4,244.9,67.6,2902.6
2002,8,42.7,228.5,65.6,2830.4
2002,9,39.8,161.7,61.9,2688.1
2002,10,36.1,60.8,56.5,2447.5
2002,11,30.7,47.1,52.2,2231.2
2002,12,27.4,57.9,49.7,2083.7
2003,1,26.4,45.1,45.4,2027.5
2003,2,28.7,78.2,53.2,2134.3
2003,3,33.4,41.4,55.9,2252.7
2003,4,38,45.2,51.6,2347.9
2003,5,42.1,58.5,45.4,2299.1
2003,6,44.4,181.1,61.8,2658
2003,7,43.7,247.8,68.3,2916
2003,8,43,231.4,66.3,2843.8
2003,9,40.1,164.6,62.6,2701.5
2003,10,36.4,62,57.2,2460.9
2003,11,31,48.3,52.9,2244.6
2003,12,27.7,59.1,50.4,2097.1
2004,1,26.7,46,46,2040.9
2004,2,29,79.7,53.9,2147.7
2004,3,33.7,42.1,56.6,2266.1
2004,4,38.3,46.4,52.3,2361.3
2004,5,42.4,59.7,46.1,2312.5
2004,7,44,250.7,69,2929.4
2004,8,43.3,234.3,67,2857.2
2004,9,40.4,167.5,63.3,2714.9
2004,10,36.7,63.2,57.9,2474.3
2004,11,31.3,49.5,53.6,2258
2004,12,28,60.3,51.1,2110.5
2005,1,27,46.9,46.6,2054.3
2005,2,29.3,81.2,54.6,2161.1
2005,3,34,42.8,57.3,2279.5
2005,4,38.6,47.6,53,2374.7
2005,5,42.7,60.9,46.8,2325.9
2005,6,45,187,62.5,2671.4
2005,7,44.3,253.6,69.7,2942.8
2005,8,43.6,237.2,67.7,2870.6
2005,9,40.7,170.4,64,2728.3
2005,10,37,64.4,58.6,2487.7
2005,11,31.6,50.7,54.3,2271.4
2005,12,28.3,61.5,51.8,2123.9
2006,1,27.3,47.8,47.2,2067.7
2006,2,29.6,82.7,55.3,2174.5
2006,3,34.3,43.5,58,2292.9
2006,4,38.9,48.8,53.7,2388.1
2006,5,43,62.1,47.5,2339.3
2006,6,45.3,189.9,63.2,2684.8
2006,7,44.6,256.5,70.4,2956.2
2006,8,43.9,240.1,68.4,2884
2006,9,41,173.3,64.7,2741.7
2006,10,37.3,65.6,59.3,2501.1
2006,11,31.9,51.9,55,2284.8
2006,12,28.6,62.7,52.5,2137.3
2007,1,27.6,48.7,47.8,2081.1
2007,2,29.9,84.2,56,2187.9
2007,3,34.6,44.2,58.7,2306.3
2007,4,39.2,50,54.4,2401.5
2007,5,43.3,63.3,48.2,2352.7
2007,6,45.6,192.8,63.9,2698.2
2007,7,44.9,259.4,71.1,2969.6
2007,8,44.2,243,69.1,2897.4
2007,9,41.3,176.2,65.4,2755.1
2007,10,37.6,66.8,60,2514.5
2007,11,32.2,53.1,55.7,2298.2
2007,12,28.9,63.9,53.2,2150.7
2008,1,27.9,49.6,48.4,2094.5
2008,2,30.2,85.7,56.7,2201.3
2008,3,34.9,44.9,59.4,2319.7
2008,4,39.5,51.2,55.1,2414.9
2008,5,43.6,64.5,48.9,2366.1
2008,6,45.9,195.7,64.6,2711.6
2008,7,45.2,262.3,71.8,2983
2008,8,44.5,245.9,69.8,2910.8
2008,9,41.6,179.1,66.1,2768.5
2008,10,37.9,68,60.7,2527.9
2008,11,32.5,54.3,56.4,2311.6
2008,12,29.2,65.1,53.9,2164.1
2009,1,28.2,50.5,49,2107.9
2009,2,30.5,87.2,57.4,2214.7
2009,3,35.2,45.6,60.1,2333.1
2009,4,39.8,52.4,55.8,2428.3
2009,5,43.9,65.7,49.6,2379.5
2009,6,46.2,198.6,65.3,2725
2009,7,45.5,265.2,72.5,2996.4
2009,8,44.8,248.8,70.5,2924.2
2009,9,41.9,182,66.8,2781.9
2009,10,38.2,69.2,61.4,2541.3
2009,11,32.8,55.5,57.1,2325
2009,12,29.5,66.3,54.6,2177.5
2010,1,28.5,51.4,49.6,2121.3
2010,2,30.8,88.7,58.1,2228.1
2010,3,35.5,46.3,60.8,2346.5
2010,4,40.1,53.6,56.5,2441.7
2010,5,44.2,66.9,50.3,2392.9
2010,6,46.5,201.5,66,2738.4
2010,7,45.8,268.1,73.2,3009.8
2010,8,45.1,251.7,71.2,2937.6
2010,9,42.2,184.9,67.5,2795.3
2010,10,38.5,70.4,62.1,2554.7
2010,11,33.1,56.7,57.8,2338.4
2010,12,29.8,67.5,55.3,2190.9
2011,1,28.8,52.3,50.2,2134.7
2011,2,31.1,90.2,58.8,2241.5
2011,3,35.8,47,61.5,2359.9
2011,4,40.4,54.8,57.2,2455.1
2011,5,44.5,68.1,51,2406.3
2011,6,46.8,204.4,66.7,2751.8
2011,7,46.1,271,73.9,3023.2
2011,8,45.4,254.6,71.9,2951
2011,9,42.5,187.8,68.2,2808.7
2011,10,38.8,71.6,62.8,2568.1
2011,11,33.4,57.9,58.5,2351.8
2011,12,30.1,68.7,56,2204.3
2012,1,29.1,53.2,50.8,2148.1
2012,2,31.4,91.7,59.5,2254.9
2012,3,36.1,47.7,62.2,2373.3
2012,4,40.7,56,57.9,2468.5
2012,5,44.8,69.3,51.7,2419.7
2012,6,47.1,207.3,67.4,2765.2
2012,7,46.4,273.9,74.6,3036.6
2012,8,45.7,257.5,72.6,2964.4
2012,9,42.8,190.7,68.9,2822.1
2012,10,39.1,72.8,63.5,2581.5
2012,11,33.7,59.1,59.2,2365.2
2012,12,30.4,69.9,56.7,2217.7
2013,1,29.4,54.1,51.4,2161.5
2013,2,31.7,93.2,60.2,2268.3
2013,3,36.4,48.4,62.9,2386.7
2013,4,41,57.2,58.6,2481.9
2013,5,45.1,70.5,52.4,2433.1
2013,6,47.4,210.2,68.1,2778.6
2013,7,46.7,276.8,75.3,3050
2013,8,46,260.4,73.3,2977.8
2013,9,43.1,193.6,69.6,2835.5
2013,10,39.4,74,64.2,2594.9
2013,11,34,60.3,59.9,2378.6
2013,12,30.7,71.1,57.4,2231.1
2014,1,29.7,55,52,2174.9
2014,2,32,94.7,60.9,2281.7
2014,3,36.7,49.1,63.6,2400.1
2014,4,41.3,58.4,59.3,2495.3
2014,5,45.4,71.7,53.1,2446.5
2014,6,47.7,213.1,68.8,2792
2014,7,47,279.7,76,3063.4
2014,8,46.3,263.3,74,2991.2
2014,9,43.4,196.5,70.3,2848.9
2014,10,39.7,75.2,64.9,2608.3
2014,11,34.3,61.5,60.6,2392
2014,12,31,72.3,58.1,2244.5
2015,1,30,55.9,52.6,2188.3
2015,2,32.3,96.2,61.6,2295.1
2015,3,37,49.8,64.3,2413.5
2015,4,41.6,59.6,60,2508.7
2015,5,45.7,72.9,53.8,2459.9
2015,6,48,216,69.5,2805.4
2015,7,47.3,282.6,76.7,3076.8
2015,8,46.6,266.2,74.7,3004.6
2015,9,43.7,199.4,71,2862.3
2015,10,40,76.4,65.6,2621.7
2015,11,34.6,62.7,61.3,2405.4
